Domain,Area,Emissions,Source,Year,Unit,Value
Emissions from Fires,World,CH4,Humid tropical forest,1990,kt,3044.7007
Emissions from Fires,World,CH4,Humid tropical forest,1991,kt,3044.7007
Emissions from Fires,World,CH4,Humid tropical forest,1992,kt,3044.7007
Emissions from Fires,World,CH4,Humid tropical forest,1993,kt,3044.7007
Emissions from Fires,World,CH4,Humid tropical forest,1994,kt,3044.7007
Emissions from Fires,World,CH4,Humid tropical forest,1995,kt,3044.7007
Emissions from Fires,World,CH4,Humid tropical forest,1996,kt,3157.3158
Emissions from Fires,World,CH4,Humid tropical forest,1997,kt,5273.6449
Emissions from Fires,World,CH4,Humid tropical forest,1998,kt,5870.6207
Emissions from Fires,World,CH4,Humid tropical forest,1999,kt,4315.6153
Emissions from Fires,World,CH4,Humid tropical forest,2000,kt,2671.2152
Emissions from Fires,World,CH4,Humid tropical forest,2001,kt,1820.0842
Emissions from Fires,World,CH4,Humid tropical forest,2002,kt,2280.9524
Emissions from Fires,World,CH4,Humid tropical forest,2003,kt,2990.6688
Emissions from Fires,World,CH4,Humid tropical forest,2004,kt,3350.8787
Emissions from Fires,World,CH4,Humid tropical forest,2005,kt,3323.8428
Emissions from Fires,World,CH4,Humid tropical forest,2006,kt,2808.3643
Emissions from Fires,World,CH4,Humid tropical forest,2007,kt,3357.8902
Emissions from Fires,World,CH4,Humid tropical forest,2008,kt,2703.6893
Emissions from Fires,World,CH4,Humid tropical forest,2009,kt,2574.0812
Emissions from Fires,World,CH4,Humid tropical forest,2010,kt,3751.5775
Emissions from Fires,World,CH4,Humid tropical forest,2011,kt,2936.9448
Emissions from Fires,World,CH4,Humid tropical forest,2012,kt,3045.2997
Emissions from Fires,World,CH4,Humid tropical forest,2013,kt,2640.4112
Emissions from Fires,World,CH4,Humid tropical forest,2014,kt,2650.6576
Emissions from Fires,World,CH4,Humid tropical forest,2015,kt,2977.9239
Emissions from Fires,World,CH4,Humid tropical forest,2016,kt,2895.5055
Emissions from Fires,World,CH4,Humid tropical forest,2017,kt,2970.7334
Emissions from Fires,World,CH4,Humid tropical forest,2018,kt,2353.4162
Emissions from Fires,World,CH4,Humid tropical forest,2019,kt,2995.0342
Emissions from Fires,World,CH4,Humid tropical forest,2020,kt,3035.7343
Emissions from Fires,World,CH4,Humid tropical forest,2021,kt,2599.895
Emissions from Fires,World,CH4,Humid tropical forest,2022,kt,2206.5253
Emissions from Fires,World,CH4,Humid tropical forest,2023,kt,2119.4716
Emissions from Fires,World,CH4,Other forest,1990,kt,1228.7349
Emissions from Fires,World,CH4,Other forest,1991,kt,1228.7349
Emissions from Fires,World,CH4,Other forest,1992,kt,1228.7349
Emissions from Fires,World,CH4,Other forest,1993,kt,1228.7349
Emissions from Fires,World,CH4,Other forest,1994,kt,1228.7349
Emissions from Fires,World,CH4,Other forest,1995,kt,1228.7349
Emissions from Fires,World,CH4,Other forest,1996,kt,1777.8708
Emissions from Fires,World,CH4,Other forest,1997,kt,1795.8458
Emissions from Fires,World,CH4,Other forest,1998,kt,2782.7833
