Domain,Area,Emissions,Source,Year,Unit,Value
Emissions from Forests,World,CO2,Forestland,1990,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1991,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1992,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1993,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1994,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1995,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1996,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1997,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1998,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,1999,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,2000,kt,-3448167.213
Emissions from Forests,World,CO2,Forestland,2001,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2002,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2003,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2004,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2005,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2006,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2007,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2008,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2009,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2010,kt,-3148174.659
Emissions from Forests,World,CO2,Forestland,2011,kt,-3966552.558
Emissions from Forests,World,CO2,Forestland,2012,kt,-3966552.558
Emissions from Forests,World,CO2,Forestland,2013,kt,-3966552.558
Emissions from Forests,World,CO2,Forestland,2014,kt,-3966552.558
Emissions from Forests,World,CO2,Forestland,2015,kt,-3966552.558
Emissions from Forests,World,CO2,Forestland,2016,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2017,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2018,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2019,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2020,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2021,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2022,kt,-2636985.222
Emissions from Forests,World,CO2,Forestland,2023,kt,-2636985.222
Emissions from Forests,World,CO2,Net Forest conversion,1990,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1991,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1992,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1993,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1994,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1995,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1996,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1997,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1998,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,1999,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,2000,kt,4271167.148
Emissions from Forests,World,CO2,Net Forest conversion,2001,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2002,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2003,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2004,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2005,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2006,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2007,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2008,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2009,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2010,kt,3693381.752
Emissions from Forests,World,CO2,Net Forest conversion,2011,kt,3302172.287
Emissions from Forests,World,CO2,Net Forest conversion,2012,kt,3302172.287
Emissions from Forests,World,CO2,Net Forest conversion,2013,kt,3302172.287
Emissions from Forests,World,CO2,Net Forest conversion,2014,kt,3302172.287
Emissions from Forests,World,CO2,Net Forest conversion,2015,kt,3302172.287
Emissions from Forests,World,CO2,Net Forest conversion,2016,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2017,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2018,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2019,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2020,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2021,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2022,kt,2945052.567
Emissions from Forests,World,CO2,Net Forest conversion,2023,kt,2945052.567
Emissions from Forests,Africa,CO2,Forestland,1990,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1991,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1992,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1993,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1994,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1995,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1996,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1997,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1998,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,1999,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,2000,kt,-34288.0071
Emissions from Forests,Africa,CO2,Forestland,2001,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2002,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2003,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2004,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2005,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2006,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2007,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2008,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2009,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2010,kt,1392.6843
Emissions from Forests,Africa,CO2,Forestland,2011,kt,3825.6792
Emissions from Forests,Africa,CO2,Forestland,2012,kt,3825.6792
Emissions from Forests,Africa,CO2,Forestland,2013,kt,3825.6792
Emissions from Forests,Africa,CO2,Forestland,2014,kt,3825.6792
Emissions from Forests,Africa,CO2,Forestland,2015,kt,3825.6792
Emissions from Forests,Africa,CO2,Forestland,2016,kt,42921.2182
